bot,method,coin,avg_cost,exit_price,pnl_pct,pnl_usdt,dca_count,invested,hold_hrs,exit_reason,btc_regime,btc_24h_change,btc_dominance,market_age_days,opened_at,exit_time,category
E39-1,E39,PRTG,0.196400000000000000,0.201600000000000000,2.64765784000000000000,2.64765784,0.0,100.00000000,2.8531200844444444,tp,,,,,2026-06-11 15:17:50.138983,2026-06-11 18:09:01.371287,micro
E39-4,E39,RION,0.173800000000000000,0.178400000000000000,2.64672037000000000000,2.64672037,0.0,100.00000000,133.6633479558333333,tp,,,,,2026-06-10 12:49:45.837929,2026-06-16 02:29:33.890570,micro
E39-5,E39,PPC,0.219300000000000000,0.225100000000000000,2.64477884000000000000,2.64477884,0.0,100.00000000,53.9047567580555556,tp,,,,,2026-06-10 14:11:12.376938,2026-06-12 20:05:29.501267,micro
E39-1,E39,PPC,0.219300000000000000,0.225100000000000000,2.64477884000000000000,2.64477884,0.0,100.00000000,53.9049707216666667,tp,,,,,2026-06-10 14:11:11.740311,2026-06-12 20:05:29.634909,micro
E39-5,E39,LOL,0.001023000000000000,0.001050000000000000,2.63929619000000000000,2.63929619,0.0,100.00000000,9.3522907963888889,tp,,,,,2026-06-10 08:39:47.722162,2026-06-10 18:00:55.969029,micro
E39-3,E39,LOL,0.001023000000000000,0.001050000000000000,2.63929619000000000000,2.63929619,0.0,100.00000000,9.3524011430555556,tp,,,,,2026-06-10 08:39:47.264456,2026-06-10 18:00:55.908571,micro
E39-2,E39,ASTEROID,0.000068770000000000,0.000070580000000000,2.63196161000000000000,2.63196161,0.0,100.00000000,2.4287037125000000,tp,,,,,2026-06-12 16:17:24.161475,2026-06-12 18:43:07.494840,micro
E39-4,E39,ASTEROID,0.000068770000000000,0.000070580000000000,2.63196161000000000000,2.63196161,0.0,100.00000000,2.4286503158333333,tp,,,,,2026-06-12 16:17:24.357428,2026-06-12 18:43:07.498565,micro
E39-5,E39,ASTEROID,0.000068770000000000,0.000070580000000000,2.63196161000000000000,2.63196161,0.0,100.00000000,2.4285515397222222,tp,,,,,2026-06-12 16:17:24.716657,2026-06-12 18:43:07.502200,micro
E39-5,E39,AVA,0.171200000000000000,0.175700000000000000,2.62850467000000000000,2.62850467,0.0,100.00000000,9.9045109675000000,tp,,,,,2026-06-10 11:58:06.318791,2026-06-10 21:52:22.558274,micro
E39-3,E39,EDGEN,0.001256000000000000,0.001289000000000000,2.62738854000000000000,2.62738854,0.0,100.00000000,15.0710403922222222,tp,,,,,2026-06-10 09:23:47.960562,2026-06-11 00:28:03.705974,micro
E39-1,E39,SUI,0.662700000000000000,0.680100000000000000,2.62562245000000000000,2.62562245,0.0,100.00000000,6.4243056183333333,tp,,0.1414,55.80,,2026-06-24 18:12:10.546277,2026-06-25 00:37:38.046503,mid
E39-5,E39,GAIA,0.005916000000000000,0.006071000000000000,2.62001352000000000000,2.62001352,0.0,100.00000000,55.5065823269444444,tp,,,,,2026-06-10 16:35:32.927951,2026-06-13 00:05:56.624328,micro
E39-4,E39,PENDLE,1.187000000000000000,1.218000000000000000,2.61162595000000000000,2.61162595,0.0,100.00000000,25.9284896158333333,tp,,,,,2026-06-10 10:29:51.027892,2026-06-11 12:25:33.590509,small
E39-1,E39,KINS,0.010679000000000000,0.010957000000000000,2.60324000000000000000,2.60324000,0.0,100.00000000,3.8965579358333333,tp,,0.1405,56.36,,2026-06-16 15:19:45.646137,2026-06-16 19:13:33.254706,micro
E39-3,E39,KINS,0.010679000000000000,0.010957000000000000,2.60324000000000000000,2.60324000,0.0,100.00000000,3.8964197033333333,tp,,0.1405,56.36,,2026-06-16 15:19:46.096888,2026-06-16 19:13:33.207820,micro
E39-4,E39,KINS,0.010679000000000000,0.010957000000000000,2.60324000000000000000,2.60324000,0.0,100.00000000,3.8963996780555556,tp,,0.1405,56.36,,2026-06-16 15:19:46.172810,2026-06-16 19:13:33.211651,micro
